HOLDINGS AND UTILIZED AGRICULTURAL AREA BY LEGAL STATUS OF HOLDER AND ,,,,,,,,,,
BY HOLDER´S DISTRICT OF RESIDENCE 2013,,,,,,,,,,
,,,,,,,,,,
DISTRICT,TOTAL,TOTAL,PRIVATE HOLDING,PRIVATE HOLDING,HOLDINGS THAT BELONG TO LEGAL PERSONS,HOLDINGS THAT BELONG TO LEGAL PERSONS,HOLDINGS THAT BELONG TO LEGAL PERSONS,HOLDINGS THAT BELONG TO LEGAL PERSONS,HOLDINGS THAT BELONG TO LEGAL PERSONS,HOLDINGS THAT BELONG TO LEGAL PERSONS
,,,,,Total,Total,"Companies, Associations and Other","Companies, Associations and Other",Public or Government,Public or Government
,"Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)","Number of Holdings","Areas (decares)"
TOTAL,35385,1093323,34916,953283,469,140040,441,133916,28,6124
LEFKOSIA ,12447,353703,12269,307805,178,45898,170,43360,7,2538
AMMOCHOSTOS,2167,84621,2125,75655,42,8966,42,8966,0,0
LARNAKA,5276,302648,5164,243880,112,58768,106,58284,6,484
LEMESOS,9110,149640,9027,137098,83,12542,75,12389,9,153
PAFOS,6385,202711,6331,188845,54,13866,48,10917,6,2949
(Last Update 30/12/2014),,,,,,,,,,
,,,,,,,,,,
COPYRIGHT © :2014 REPUBLIC OF CYPRUS STATISTICAL SERVICE,,,,,,,,,,
